INT_ID^CITY_ID^PATH_INDEX^ROUTE_INDEX^ROUTE_IN_INDEX^ROUTE_RATE^RELATED_TRAPH_ID^ROUTE_DESCRIPTION^RELATED_PATH_ID^WORK_STATE^PATH_TYPE^A_SITE^Z_SITE^A_SITE_NAME^Z_SITE_NAME^A_TRANSNE_ID^A_TRANSNE^A_TRANSPORT_ID^A_TRANSVIRTUALPORT_ID^RELATED_A_TRANSCTP^Z_TRANSNE_ID^Z_TRANSNE^Z_TRANSPORT_ID^Z_TRANSVIRTUALPORT_ID^RELATED_Z_TRANSCTP^AVLANID^ZVLANID^MSTP_EXTS^A_MAC^A_MP^Z_MAC^Z_MP^ZH_LABEL^REMARK^STATEFLAG^TIME_STAMP^CREATOR^CREAT_TIME^MODIFY_TIME^MODIFIER
3^^1^1^0^^68782993^昆明文庙(287-昆明文庙长长扩展1-16-PQ1-05)(236-大理-2-JQ16-04/155M7)大理榆宾路10号^76266503^1^1^1864^1836^五华区昆明文庙^大理市榆宾路10号^53936518^287-昆明文庙长长扩展1^55884098^^^53936698^236-大理^55872699^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:56:50^2011-03-02 16:56:50^
4^^1^1^0^^68782994^昆明文庙(287-昆明文庙长长扩展1-16-PQ1-11)()大理榆宾路10号^76264932^1^1^1864^1836^五华区昆明文庙^大理市榆宾路10号^53936518^287-昆明文庙长长扩展1^55887208^^^53936773^237-大理扩展1^55869604^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:25^2011-02-24 15:46:24^
5^^1^1^0^^68782995^昆明文庙(287-昆明文庙长长扩展1-16-PQ1-12)()大理榆宾路10号^76265008^1^1^1864^1836^五华区昆明文庙^大理市榆宾路10号^53936518^287-昆明文庙长长扩展1^55887212^^^53936773^237-大理扩展1^55869603^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:27^2011-02-24 15:46:27^
6^^1^1^0^^68782996^昆明高新(233-昆明高新3扩展2-2-PQ1-01)()大理榆宾路10号^76265009^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55849543^^^53936645^238-大理扩展2^55873471^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:29^2011-02-24 15:46:29^
7^^1^1^0^^68782997^昆明高新(233-昆明高新3扩展2-2-PQ1-02)()大理榆宾路10号^76265010^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55849527^^^53936645^238-大理扩展2^55873479^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:31^2011-02-24 15:46:31^
8^^1^1^0^^68782998^昆明高新(233-昆明高新3扩展2-2-PQ1-03)()大理榆宾路10号^76265011^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55867035^^^53936645^238-大理扩展2^55873481^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:33^2011-02-24 15:46:33^
9^^1^1^0^^68782999^昆明高新(233-昆明高新3扩展2-2-PQ1-04)()大理榆宾路10号^76264936^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55849547^^^53936645^238-大理扩展2^55873475^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:35^2011-02-24 15:46:35^
10^^1^1^0^^68783000^昆明高新(233-昆明高新3扩展2-2-PQ1-05)()大理榆宾路10号^76265013^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55866887^^^53936645^238-大理扩展2^55873477^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:37^2011-02-24 15:46:37^
12^^1^1^0^^68783010^昆明高新(233-昆明高新3扩展2-2-PQ1-13)()大理榆宾路10号^76265015^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875187^^^53936645^238-大理扩展2^55870226^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:41^2011-02-24 15:46:41^
13^^1^1^0^^68783011^昆明高新(233-昆明高新3扩展2-2-PQ1-14)()大理榆宾路10号^76265016^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878775^^^53936645^238-大理扩展2^55870227^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:43^2011-02-24 15:46:43^
14^^1^1^0^^68783012^昆明高新(233-昆明高新3扩展2-2-PQ1-15)()大理榆宾路10号^76266107^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878780^^^53936645^238-大理扩展2^55870432^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:45^2011-02-24 15:46:45^
16^^1^1^0^^68783054^昆明高新(233-昆明高新3扩展2-2-PQ1-17)()大理榆宾路10号^76266185^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878562^^^53936645^238-大理扩展2^55870436^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:49^2011-02-24 15:46:49^
17^^1^1^0^^68783055^昆明高新(233-昆明高新3扩展2-2-PQ1-19)()大理榆宾路10号^76266186^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878760^^^53936645^238-大理扩展2^55870237^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:51^2011-02-24 15:46:51^
18^^1^1^0^^68783056^昆明高新(233-昆明高新3扩展2-2-PQ1-20)()大理榆宾路10号^76266187^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55874910^^^53936645^238-大理扩展2^55870465^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:53^2011-02-24 15:46:53^
19^^1^1^0^^68783057^昆明高新(233-昆明高新3扩展2-2-PQ1-21)()大理榆宾路10号^76266112^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878350^^^53936645^238-大理扩展2^55870464^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:55^2011-02-24 15:46:55^
